Serial, mut_t1, mut_t2, mut_t4, mut_t8, rw_t1, rw_t2, rw_t4, rw_t8
8843, 8163, 17742, 16138, 18304, 9531, 7116, 9961, 7536
7801, 7723, 17072, 16918, 16366, 13103, 10578, 7057, 6759
10573, 12112, 25621, 19947, 20689, 12086, 10689, 11664, 8747
8370, 11232, 16903, 17331, 17831, 9006, 8736, 6543, 8018
7545, 9798, 17391, 16943, 16643, 13142, 10056, 7519, 9650
9938, 10386, 16158, 17945, 32668, 28906, 11842, 8337, 10098
16828, 15651, 27900, 40880, 36537, 26385, 7929, 8238, 6724
9587, 8315, 16634, 16362, 16795, 9697, 6962, 7286, 7362
26870, 10541, 15577, 17276, 17473, 11296, 7147, 7852, 6738
7706, 8877, 16547, 16914, 16193, 10122, 6927, 7637, 6672
9315, 8130, 18191, 17290, 17668, 9600, 6885, 7531, 6667
9029, 8704, 18219, 17654, 15993, 8863, 7997, 6512, 6834
8734, 7649, 16980, 15659, 17973, 9414, 8412, 6593, 7962
7218, 40110, 27009, 16845, 17049, 9764, 7174, 7111, 6426
8551, 8820, 16196, 17135, 19078, 9536, 6842, 7696, 6968
9678, 7836, 17525, 17646, 16860, 8575, 7708, 7363, 6878
11922, 7685, 18938, 17794, 17341, 10098, 7177, 7585, 6840
9927, 8469, 16781, 18907, 17008, 9466, 8184, 7076, 6526
9345, 7824, 15830, 16731, 17499, 8486, 8328, 7439, 22645
12854, 13057, 18453, 21097, 18887, 11467, 9236, 8024, 10386
8574, 11697, 17976, 17511, 17718, 9226, 8063, 6838, 7784
9204, 7851, 16506, 16862, 17185, 8860, 9223, 6580, 8283
6995, 8011, 16218, 17084, 21268, 8832, 10505, 6628, 7905
8713, 8471, 17827, 16004, 16551, 9005, 8205, 6620, 8835
8658, 7667, 17654, 15750, 17400, 10248, 9121, 6512, 8337
7297, 8632, 16207, 17152, 17020, 11601, 8503, 6523, 8419
7684, 8680, 16059, 15463, 17528, 10485, 7115, 7378, 6911
8538, 9708, 17065, 18131, 17569, 9795, 7164, 7820, 6743
10836, 8439, 16912, 18067, 18621, 10991, 7164, 7427, 6631
9174, 9013, 17935, 16684, 18765, 11206, 6754, 7474, 6646
11134, 9466, 17377, 16785, 17509, 10039, 6855, 7117, 6544
8761, 7994, 16990, 17899, 17337, 8667, 7414, 6437, 9256
9853, 7225, 16520, 18613, 17830, 8612, 8718, 6467, 8874
8939, 7914, 15546, 15138, 17048, 10791, 7991, 6442, 10721
6978, 7379, 15431, 17111, 20166, 8735, 7758, 6656, 7387
7244, 9022, 17434, 17418, 18290, 10724, 7883, 6503, 9911
7254, 9144, 18429, 17166, 17417, 10797, 8689, 6482, 10789
8555, 8015, 17242, 15478, 18324, 12967, 11747, 9099, 9290
16786, 12781, 19607, 25416, 20929, 10119, 7451, 6921, 9155
8154, 8775, 16088, 16322, 17313, 10733, 7085, 6504, 7995
8839, 9648, 16290, 17985, 17512, 38104, 14140, 11102, 7060
7841, 8710, 17050, 16506, 16273, 8737, 8013, 7599, 6857
9698, 7762, 15068, 15614, 17688, 8614, 8084, 6483, 7980
7296, 7751, 14427, 15232, 16827, 10654, 8213, 6653, 11290
7419, 7545, 16005, 16005, 16524, 12206, 10219, 7501, 9086
9452, 8131, 16497, 15306, 17049, 10599, 7705, 6534, 8397
7400, 9576, 16918, 16345, 18196, 10041, 7187, 7175, 8877
8160, 12160, 15567, 15863, 16466, 11098, 8143, 6472, 8534
19177, 13381, 32665, 26631, 21126, 12362, 10136, 10414, 9957
13238, 11683, 26057, 17080, 17500, 9817, 7750, 6486, 8027
8623, 9892, 18041, 18252, 16619, 10354, 8173, 6538, 7626
7458, 8425, 16018, 16385, 17006, 10082, 6640, 7684, 6749
8787, 7151, 17008, 14985, 19659, 8772, 8211, 6581, 8331
6994, 9010, 16915, 17598, 18865, 10015, 7920, 6762, 8258
7886, 7243, 15308, 15771, 16821, 10276, 6683, 7280, 7766
8468, 12328, 24891, 22202, 18720, 10152, 9751, 7818, 8291
13679, 8428, 18398, 17175, 17469, 9244, 6739, 7558, 6882
9876, 8060, 18829, 18580, 16654, 9609, 6592, 7359, 7250
8121, 8727, 16105, 17140, 18448, 8916, 7336, 6505, 8611
7435, 8531, 16965, 17201, 16790, 9915, 7190, 6633, 8484
7794, 9535, 16351, 16178, 17166, 9977, 6597, 7172, 7041
9518, 8534, 16811, 15766, 17349, 10628, 6705, 7008, 7315
13224, 9299, 16501, 17049, 17591, 10296, 6675, 7972, 6681
8392, 7840, 15655, 16224, 18070, 8691, 7811, 6439, 8546
6875, 7373, 16327, 17338, 16912, 9722, 6789, 6806, 7684
7497, 9530, 17829, 22445, 22511, 11008, 8834, 8648, 44528
26641, 12989, 20093, 18823, 17316, 8444, 8077, 6432, 7705
8873, 7700, 16851, 16554, 16260, 11574, 8796, 6567, 8141
7087, 9061, 14527, 16961, 16925, 11305, 6838, 7554, 7164
8677, 8721, 17062, 18685, 18760, 11004, 6541, 8031, 6931
9116, 10496, 20439, 20466, 26543, 12285, 11306, 8163, 8214
13543, 13422, 17540, 16946, 17522, 10954, 9221, 6631, 7925
7543, 9907, 16466, 16056, 19291, 11155, 10915, 9080, 7136
18434, 8719, 17407, 21952, 19081, 12895, 7556, 8261, 8545
8786, 8114, 16098, 17663, 19797, 8624, 7907, 6349, 7932
7074, 9104, 15783, 17268, 17345, 11252, 6698, 7042, 8416
8140, 8777, 17457, 16059, 17243, 11100, 9170, 6494, 7919
7777, 9136, 19513, 17849, 18130, 10141, 8758, 6945, 9057
7130, 8913, 16484, 17509, 17810, 11065, 8296, 6601, 8817
8356, 8079, 16943, 17251, 17349, 10985, 7016, 6668, 8121
8116, 11746, 17978, 17266, 17779, 10595, 7733, 6520, 7667
7550, 9663, 17762, 18474, 18301, 13069, 10338, 7266, 6739
9024, 7930, 18359, 16663, 17914, 9069, 7821, 6476, 7767
8144, 8225, 17236, 16547, 20481, 8844, 7699, 6575, 9133
10311, 8044, 16381, 19177, 17919, 8504, 9509, 7369, 6826
8955, 7914, 15632, 16024, 17234, 9770, 8105, 6576, 12620
