Serial, mut_t1, mut_t2, mut_t4, mut_t8, rw_t1, rw_t2, rw_t4, rw_t8
74643, 68877, 75761, 69677, 53336, 62317, 71253, 57695, 54447
60769, 58660, 73195, 61723, 49915, 52137, 58367, 106747, 40788
65530, 59511, 74245, 52107, 42104, 50162, 57549, 48742, 43286
49705, 47597, 65140, 54207, 48677, 62281, 67002, 50693, 45737
57584, 53517, 81195, 62028, 56703, 62392, 65498, 51178, 47419
54948, 52138, 66390, 47785, 49983, 50281, 57795, 39531, 39549
46526, 47974, 62505, 53965, 51728, 55986, 62608, 47661, 46192
50095, 49959, 62061, 41150, 44123, 48052, 53510, 41215, 42667
45740, 55518, 59166, 51817, 34885, 48412, 54325, 41752, 42563
48661, 47705, 73997, 55799, 57866, 89108, 72748, 59278, 44596
53381, 50133, 67191, 43622, 44613, 45862, 53973, 48815, 43905
53350, 49945, 65779, 41294, 37908, 46512, 52998, 48225, 41817
59442, 177699, 137022, 68228, 62671, 63935, 68405, 53826, 47187
52116, 55261, 70223, 50833, 46334, 55203, 63485, 49550, 44236
65533, 58468, 73012, 66685, 62563, 83667, 79986, 62980, 53548
75106, 69269, 82504, 69480, 59595, 66089, 63875, 52836, 46322
51974, 53278, 70483, 60149, 45760, 58334, 65307, 51033, 43903
55604, 50482, 70607, 51422, 40752, 51473, 61848, 49818, 44763
49335, 50737, 65828, 52403, 57312, 66653, 67987, 53361, 50214
54425, 51660, 67046, 58089, 48760, 50738, 55589, 45984, 41655
55369, 50981, 73095, 56725, 49146, 63578, 60759, 47094, 45518
54271, 54285, 73179, 56401, 42102, 51214, 59749, 44072, 40165
49457, 50890, 66677, 46948, 40582, 65134, 69398, 57372, 54085
74110, 64151, 86609, 62424, 50995, 65784, 60573, 56194, 47998
47489, 51163, 80160, 45508, 50799, 49732, 53479, 42868, 40691
54046, 51384, 71192, 52222, 45744, 49168, 58955, 49212, 44932
48434, 48761, 68741, 49144, 64799, 70036, 67148, 51290, 51519
74422, 59112, 76269, 51638, 49938, 55152, 61651, 46939, 47692
51688, 51790, 69874, 51868, 48836, 53553, 57655, 48584, 43803
55715, 56175, 71666, 51415, 50551, 53397, 58133, 42593, 41853
51283, 48842, 64633, 52625, 47768, 53210, 57502, 40963, 39276
47694, 51061, 61132, 57538, 54411, 64039, 69313, 53077, 49851
51282, 51451, 65284, 50550, 39696, 49133, 59320, 50299, 46214
53628, 55389, 72777, 50755, 47527, 53754, 60558, 51274, 45826
48381, 55157, 73662, 64170, 43027, 50352, 57129, 46258, 45668
50014, 49859, 65465, 47796, 49137, 52127, 62940, 51076, 48343
57244, 66301, 94677, 75231, 58939, 85309, 88471, 62648, 50853
61334, 59775, 73020, 55604, 51916, 77332, 68334, 54178, 45882
66584, 70749, 80066, 57958, 44577, 56422, 63079, 49172, 41786
53700, 52358, 70145, 55049, 49180, 117912, 101529, 72295, 61609
78863, 194431, 116661, 81085, 66624, 64548, 70502, 52030, 52199
56928, 60090, 83144, 79745, 62200, 76412, 80190, 63452, 60137
63609, 96831, 109116, 93752, 70907, 119574, 100324, 76801, 61769
79091, 68003, 101608, 73398, 69505, 70695, 74117, 54647, 51389
69908, 102003, 86591, 81085, 58053, 65290, 73437, 61766, 69906
80664, 79220, 139259, 89112, 73646, 116542, 81661, 63156, 63047
102845, 87944, 81324, 63843, 60504, 73159, 78926, 55372, 54133
69512, 77994, 82372, 67704, 58525, 71232, 66777, 48655, 47718
57147, 53050, 66781, 54418, 44527, 54138, 57500, 47038, 42614
48553, 52836, 65449, 46048, 47653, 50322, 68088, 56428, 51117
62962, 66925, 75929, 63594, 51771, 54776, 63232, 43246, 38491
55977, 51663, 66370, 53712, 39545, 51637, 56916, 41170, 40057
47915, 49609, 68467, 50363, 37686, 47520, 56975, 44302, 42226
48284, 65092, 75328, 52596, 40719, 55705, 59774, 47906, 45674
51440, 56773, 59182, 49087, 41874, 62136, 53372, 38220, 31597
54681, 51729, 63488, 39068, 33552, 53989, 49552, 58563, 36581
61125, 82933, 78688, 52620, 47206, 74298, 69355, 47076, 42217
69118, 62775, 55088, 41055, 37759, 59442, 51059, 39532, 33501
54906, 71866, 59077, 44549, 40105, 72776, 81239, 67305, 67014
124493, 116281, 89451, 86624, 56928, 79338, 67406, 47577, 40514
68409, 67007, 64716, 54698, 40382, 72913, 62224, 46263, 48871
71700, 67733, 68998, 59242, 47686, 68818, 60432, 47300, 41497
71756, 72742, 115124, 75232, 48615, 84674, 68779, 49593, 44325
69610, 66606, 69778, 49442, 49997, 97829, 73336, 56090, 54484
69116, 68645, 96048, 66537, 66840, 67677, 74136, 53952, 51253
79834, 76633, 81743, 68882, 59148, 70385, 70685, 56856, 51771
88582, 79995, 90911, 64895, 58917, 68551, 79064, 56669, 55309
74238, 70653, 111852, 67095, 71287, 107395, 97652, 74398, 64159
84454, 81697, 104010, 80491, 71379, 83605, 83812, 61020, 57531
76916, 75346, 91657, 66696, 76220, 60928, 69497, 55663, 47691
54321, 57387, 71317, 54098, 48984, 56748, 61123, 52322, 48230
51370, 54766, 71826, 46464, 39313, 56681, 62063, 50118, 46769
52275, 57847, 71509, 50846, 47901, 56549, 60728, 46751, 42205
54460, 50897, 66719, 61265, 51431, 58667, 62901, 47502, 44673
51716, 51435, 64425, 49845, 37435, 51499, 56475, 45617, 44365
49841, 50691, 66306, 42481, 51767, 79989, 60121, 52585, 179401
65600, 56289, 70566, 51553, 49122, 53975, 58311, 47193, 42565
50895, 52384, 66388, 59973, 51801, 55193, 61307, 48267, 44597
49158, 53549, 64094, 45545, 38825, 49839, 56203, 41512, 39591
46615, 49838, 60193, 45511, 38594, 50931, 57705, 45587, 39274
48812, 57337, 67114, 47421, 40370, 53674, 54086, 45701, 41930
50125, 48512, 63980, 54471, 34406, 48530, 56011, 47119, 42892
52268, 57070, 73662, 57074, 40525, 57491, 60565, 48773, 47122
49278, 55303, 69385, 53353, 45920, 51381, 61096, 48853, 43460
49347, 49836, 65518, 50403, 52538, 51589, 58665, 47972, 40611
53355, 54047, 67330, 57128, 47499, 51163, 59957, 49207, 44777
61343, 74948, 76350, 65942, 56813, 78883, 81415, 62602, 58339
77981, 81611, 83443, 77087, 62029, 79489, 77518, 62973, 55843
80497, 82419, 91090, 75024, 62772, 88662, 77384, 58094, 46115
62618, 54760, 73457, 59947, 58434, 68152, 64713, 53616, 51167
56965, 59034, 68762, 51342, 46437, 59451, 60785, 44538, 47311
52262, 52680, 74272, 54593, 47254, 58123, 57433, 47021, 47073
51193, 51889, 64627, 46540, 46720, 52147, 61789, 45719, 42033
49390, 50942, 68473, 67131, 43180, 55925, 61364, 46120, 45877
51582, 60179, 75304, 63311, 53294, 55905, 60342, 48073, 50207
53266, 53967, 73341, 66309, 41688, 52192, 63285, 50054, 45412
53806, 52754, 70778, 47415, 46400, 52319, 59763, 45671, 43336
56662, 66544, 69493, 58317, 51976, 51853, 62150, 42693, 44800
50015, 49339, 70954, 46474, 51265, 63238, 62824, 49035, 45861
53749, 53256, 69583, 54641, 43667, 53082, 57332, 44779, 44772
55546, 54651, 69047, 60585, 49801, 50351, 60822, 43111, 47141
49780, 53196, 64341, 60419, 47211, 52195, 58278, 50055, 45556
50585, 53304, 88399, 69337, 61923, 54894, 64710, 53829, 49165
58375, 68374, 78744, 55762, 53159, 57990, 63479, 48450, 46281
49598, 53164, 64418, 49158, 52006, 53565, 58901, 46485, 44293
58458, 54326, 68983, 52471, 45675, 54537, 61494, 52623, 47875
59506, 52898, 70573, 51764, 45133, 54814, 117893, 130711, 65210
78621, 77805, 88400, 57715, 61039, 71876, 68916, 51718, 49587
69564, 55746, 67716, 56394, 42444, 56291, 60926, 44648, 44583
52933, 52844, 71324, 52925, 46338, 52298, 63451, 49479, 41852
48891, 53495, 68623, 59551, 37565, 58631, 60586, 45553, 43091
59745, 60077, 75336, 59065, 42337, 57881, 66100, 45853, 45857
51773, 53186, 65241, 52454, 44975, 54715, 55797, 49713, 44612
49258, 51144, 64199, 43684, 44127, 53064, 58255, 45864, 42176
48080, 50942, 66428, 50783, 36765, 47907, 57800, 45231, 42798
47596, 48283, 74529, 58334, 55606, 61379, 70167, 52838, 47901
50279, 51848, 66933, 56023, 46655, 55212, 59787, 47093, 44140
48903, 52449, 68442, 51024, 43967, 51511, 58006, 52419, 41099
65544, 63061, 72633, 61840, 44245, 58718, 60752, 50213, 46598
48807, 50913, 73362, 43950, 39728, 52223, 58971, 51322, 44769
